,Atlas,Labels,SWI_Density,ToF_Density,RV,HR,Corr
5,Schaefer,LH_VisCent_ExStr_6,0.02989368241948959,0.002751719703276952,0.288319938522867,0.279644841273075,0.283982389897971
211,Schaefer,RH_VisCent_ExStr_11,0.03972419316758587,0.023772768393347535,0.284323828799349,0.283568141650358,0.2839459852248535
262,Schaefer,RH_DorsAttnA_ParOcc_2,0.029747637408661706,0.012759057686508046,0.307147936119647,0.257116238853478,0.2821320874865625
66,Schaefer,LH_DorsAttnA_SPL_2,0.03361898341349193,0.05461907671570317,0.287036606543352,0.27707516751594,0.282055887029646
120,Schaefer,LH_ContA_Temp_1,0.03073602308214238,0.0006043600033869786,0.304107298704026,0.259768656700107,0.2819379777020665
113,Schaefer,LH_LimbicA_TempPole_1,0.05132450130058835,0.02277499507643924,0.328624434285646,0.234716997223668,0.281670715754657
236,Schaefer,RH_SomMotA_14,0.027741573978471393,0.04189163838861553,0.292369745229194,0.269974453887469,0.2811720995583315
11,Schaefer,LH_VisCent_ExStr_11,0.039495563663711604,0.005820398896255277,0.283235289730539,0.278941560824007,0.281088425277273
395,Schaefer,RH_TempPar_6,0.025335601336041163,0.01720552054024482,0.309563564794883,0.252525747272779,0.281044656033831
8,Schaefer,LH_VisCent_ExStr_8,0.040788436887219726,0.007867820307941307,0.281582749834458,0.279810597891939,0.2806966738631985
235,Schaefer,RH_SomMotA_13,0.015853657945990564,0.05975609496235847,0.281739812430569,0.277130908040542,0.2794353602355555
337,Schaefer,RH_ContB_IPL_1,0.05298216603383297,0.03187128381819284,0.325692555981003,0.232904525465682,0.2792985407233425
181,Schaefer,LH_DefaultB_PFCl_2,0.01645749402277678,0.011958323057415416,0.31177793018875,0.246761427218436,0.279269678703593
386,Schaefer,RH_DefaultC_Rsp_1,0.0939120378667914,0.06491261480126793,0.321819857437916,0.23658749464778,0.279203676042848
229,Schaefer,RH_SomMotA_7,0.03444875288764743,0.0854644633608687,0.291206115817647,0.267133584503405,0.279169850160526
309,Schaefer,RH_SalVentAttnB_Ins_2,0.03771979425882184,0.027566646715236266,0.326050395864826,0.231380441852933,0.2787154188588795
384,Schaefer,RH_DefaultC_IPL_1,0.042774323158652164,0.014101425269558803,0.293189041345511,0.262820098653076,0.27800456999929346
318,Schaefer,RH_LimbicA_TempPole_1,0.06514577819141505,0.025406503107869762,0.330655280613313,0.22472333816145,0.2776893093873815
146,Schaefer,LH_ContC_Cingp_1,0.04110715144805694,0.005480953481759918,0.313659005804481,0.241504512967205,0.27758175938584295
364,Schaefer,RH_DefaultA_pCunPCC_3,0.025233709545918775,0.011949110400436247,0.30963266106256,0.245506265165117,0.2775694631138385
238,Schaefer,RH_SomMotA_16,0.03341780032043333,0.0898004403555548,0.281891466747618,0.273240745918282,0.27756610633295
280,Schaefer,RH_DorsAttnB_PostC_8,0.05274873945329871,0.12795198918689812,0.274305508523655,0.279443478398649,0.276874493461152
128,Schaefer,LH_ContA_PFClv_2,0.014290124285716906,0.0024257927028223146,0.299288294653574,0.254290706934605,0.2767895007940895
73,Schaefer,LH_DorsAttnB_PostC_2,0.011999477796694812,0.002999869459134372,0.305282838289076,0.247779781333386,0.276531309811231
87,Schaefer,LH_SalVentAttnA_ParOper_3,0.030905444965991256,0.00943868992569512,0.314341108548425,0.238697822420396,0.27651946548441053
226,Schaefer,RH_SomMotA_4,0.04359271994658879,0.0734030166315654,0.291516213109368,0.260166435359047,0.2758413242342075
35,Schaefer,LH_SomMotA_12,0.023667082009771762,0.026099532300410566,0.296861389184414,0.253852617742655,0.27535700346353453
215,Schaefer,RH_VisPeri_ExStrInf_4,0.06644238572267966,0.023268852489946902,0.292110717515037,0.257877231174426,0.2749939743447315
383,Schaefer,RH_DefaultB_PFCv_3,0.03649119358207729,0.03512571654264531,0.341302053118671,0.207688239798795,0.274495146458733
228,Schaefer,RH_SomMotA_6,0.03425296408231141,0.04558176596145161,0.286146448678388,0.262382992150709,0.2742647204145485
196,Schaefer,LH_TempPar_3,0.01493902385700494,0.003277438902296126,0.293774100412678,0.254202022243749,0.2739880613282135
72,Schaefer,LH_DorsAttnB_PostC_1,0.028475016626773528,0.013675111951758561,0.305842971875833,0.24186483607395,0.2738539039748915
79,Schaefer,LH_DorsAttnB_PostC_8,0.026620619196807388,0.047341533444799855,0.272690925746342,0.274901122368021,0.2737960240571815
394,Schaefer,RH_TempPar_5,0.031138210073113442,0.008130080997943878,0.304277894841474,0.243226243976624,0.273752069409049
380,Schaefer,RH_DefaultB_PFCd_5,0.025342057263705788,0.07311124051126038,0.317620589334322,0.22980729606144,0.273713942697881
130,Schaefer,LH_ContA_PFCl_2,0.020058642462140223,0.006030920750456429,0.312889066691798,0.233728501306867,0.2733087839993325
27,Schaefer,LH_SomMotA_4,0.010723296488667357,0.0114241654759851,0.282923388521335,0.262980942937219,0.272952165729277
207,Schaefer,RH_VisCent_ExStr_7,0.041994749091741605,0.024838357850948345,0.27241235863948,0.273242808711419,0.27282758367544946
255,Schaefer,RH_SomMotB_Cent_1,0.025806450555401463,0.08701809293800784,0.286793007888056,0.25646096200964,0.271626984948848
194,Schaefer,LH_TempPar_1,0.03899043495928882,0.03904702462549829,0.326464143590466,0.215580371906305,0.2710222577483855
242,Schaefer,RH_SomMotA_20,0.03460777727131908,0.14057349438804226,0.274024917878122,0.267010442066809,0.2705176799724655
90,Schaefer,LH_SalVentAttnA_Ins_3,0.04232141016264678,0.010411645201119509,0.31858973314148,0.222068508114987,0.2703291206282335
159,Schaefer,LH_DefaultA_pCunPCC_7,0.04154450585470175,0.00829642528996748,0.28091208912262,0.259455272185338,0.270183680653979
300,Schaefer,RH_SalVentAttnA_ParMed_4,0.038767649390195544,0.01694480039571461,0.289642554286794,0.250072865517529,0.2698577099021615
76,Schaefer,LH_DorsAttnB_PostC_5,0.02952503112324497,0.00924261831923535,0.279619093837149,0.259620343091934,0.26961971846454147
279,Schaefer,RH_DorsAttnB_PostC_7,0.03401269492221205,0.08299364878298485,0.261152527804275,0.278086554916711,0.26961954136049304
13,Schaefer,LH_VisPeri_ExStrInf_2,0.09270161258991651,0.015886365168396085,0.291341015209025,0.24763206773854,0.2694865414737825
264,Schaefer,RH_DorsAttnA_SPL_1,0.06101359835480604,0.03388800142431556,0.265389374553267,0.273229339500015,0.269309357026641
123,Schaefer,LH_ContA_IPS_3,0.043584931090738646,0.024534563870119624,0.300237971585095,0.237778537945434,0.2690082547652645
